Ticker,rows,start,end
AAPL,1913,2019-01-02,2026-05-01
ABBV,1913,2019-01-02,2026-05-01
ABNB,1407,2020-12-10,2026-05-01
ABT,1913,2019-01-02,2026-05-01
ADBE,1913,2019-01-02,2026-05-01
AMD,1913,2019-01-02,2026-05-01
AMGN,1913,2019-01-02,2026-05-01
AMT,1913,2019-01-02,2026-05-01
AMZN,1913,2019-01-02,2026-05-01
APD,1913,2019-01-02,2026-05-01
AUDCAD=X,1914,2019-01-01,2026-05-01
AUDJPY=X,1914,2019-01-01,2026-05-01
AUDUSD=X,1914,2019-01-01,2026-05-01
AVGO,1913,2019-01-02,2026-05-01
AXP,1913,2019-01-02,2026-05-01
BA,1913,2019-01-02,2026-05-01
BAC,1913,2019-01-02,2026-05-01
BKNG,1913,2019-01-02,2026-05-01
BLK,1913,2019-01-02,2026-05-01
BMY,1913,2019-01-02,2026-05-01
BSX,1913,2019-01-02,2026-05-01
BX,1913,2019-01-02,2026-05-01
BZ=F,1913,2019-01-02,2026-05-01
C,1913,2019-01-02,2026-05-01
CADJPY=X,1914,2019-01-01,2026-05-01
CAT,1913,2019-01-02,2026-05-01
CHFJPY=X,1914,2019-01-01,2026-05-01
CL,1913,2019-01-02,2026-05-01
CL=F,1913,2019-01-02,2026-05-01
CMCSA,1913,2019-01-02,2026-05-01
CME,1913,2019-01-02,2026-05-01
CMG,1913,2019-01-02,2026-05-01
COP,1913,2019-01-02,2026-05-01
COST,1913,2019-01-02,2026-05-01
CRM,1913,2019-01-02,2026-05-01
CRWD,1798,2019-06-12,2026-05-01
CSCO,1913,2019-01-02,2026-05-01
CVX,1913,2019-01-02,2026-05-01
DE,1913,2019-01-02,2026-05-01
DELL,1913,2019-01-02,2026-05-01
DIS,1913,2019-01-02,2026-05-01
EBAY,1913,2019-01-02,2026-05-01
ECL,1913,2019-01-02,2026-05-01
EL,1913,2019-01-02,2026-05-01
EOG,1913,2019-01-02,2026-05-01
EQIX,1913,2019-01-02,2026-05-01
ETSY,1913,2019-01-02,2026-05-01
EURAUD=X,1914,2019-01-01,2026-05-01
EURCAD=X,1914,2019-01-01,2026-05-01
EURCHF=X,1914,2019-01-01,2026-05-01
EURGBP=X,1914,2019-01-01,2026-05-01
EURJPY=X,1914,2019-01-01,2026-05-01
EURUSD=X,1914,2019-01-01,2026-05-01
FCX,1913,2019-01-02,2026-05-01
FDX,1913,2019-01-02,2026-05-01
GBPAUD=X,1914,2019-01-01,2026-05-01
GBPCAD=X,1914,2019-01-01,2026-05-01
GBPCHF=X,1914,2019-01-01,2026-05-01
GBPJPY=X,1914,2019-01-01,2026-05-01
GBPUSD=X,1914,2019-01-01,2026-05-01
GC=F,1913,2019-01-02,2026-05-01
GE,1913,2019-01-02,2026-05-01
GILD,1913,2019-01-02,2026-05-01
GOOGL,1913,2019-01-02,2026-05-01
GS,1913,2019-01-02,2026-05-01
HAL,1913,2019-01-02,2026-05-01
HD,1913,2019-01-02,2026-05-01
HG=F,1913,2019-01-02,2026-05-01
HON,1913,2019-01-02,2026-05-01
HPQ,1913,2019-01-02,2026-05-01
IBM,1913,2019-01-02,2026-05-01
ICE,1913,2019-01-02,2026-05-01
INTC,1913,2019-01-02,2026-05-01
INTU,1913,2019-01-02,2026-05-01
ISRG,1913,2019-01-02,2026-05-01
JNJ,1913,2019-01-02,2026-05-01
JPM,1913,2019-01-02,2026-05-01
KKR,1913,2019-01-02,2026-05-01
KLAC,1913,2019-01-02,2026-05-01
KO,1913,2019-01-02,2026-05-01
LIN,1913,2019-01-02,2026-05-01
LLY,1913,2019-01-02,2026-05-01
LMT,1913,2019-01-02,2026-05-01
LOW,1913,2019-01-02,2026-05-01
LRCX,1913,2019-01-02,2026-05-01
MA,1913,2019-01-02,2026-05-01
MCD,1913,2019-01-02,2026-05-01
MCO,1913,2019-01-02,2026-05-01
MDLZ,1913,2019-01-02,2026-05-01
MDT,1913,2019-01-02,2026-05-01
META,1913,2019-01-02,2026-05-01
MMM,1913,2019-01-02,2026-05-01
MO,1913,2019-01-02,2026-05-01
MPC,1913,2019-01-02,2026-05-01
MRK,1913,2019-01-02,2026-05-01
MS,1913,2019-01-02,2026-05-01
MSFT,1913,2019-01-02,2026-05-01
MU,1913,2019-01-02,2026-05-01
NEM,1913,2019-01-02,2026-05-01
NET,1731,2019-09-13,2026-05-01
NFLX,1913,2019-01-02,2026-05-01
NG=F,1913,2019-01-02,2026-05-01
NKE,1913,2019-01-02,2026-05-01
NOW,1913,2019-01-02,2026-05-01
NVDA,1913,2019-01-02,2026-05-01
NZDUSD=X,1914,2019-01-01,2026-05-01
O,1913,2019-01-02,2026-05-01
ORCL,1913,2019-01-02,2026-05-01
ORLY,1913,2019-01-02,2026-05-01
OXY,1913,2019-01-02,2026-05-01
PANW,1913,2019-01-02,2026-05-01
PEP,1913,2019-01-02,2026-05-01
PFE,1913,2019-01-02,2026-05-01
PG,1913,2019-01-02,2026-05-01
PL=F,1913,2019-01-02,2026-05-01
PLD,1913,2019-01-02,2026-05-01
PLTR,1458,2020-09-30,2026-05-01
PM,1913,2019-01-02,2026-05-01
PNC,1913,2019-01-02,2026-05-01
PSA,1913,2019-01-02,2026-05-01
PSX,1913,2019-01-02,2026-05-01
PYPL,1913,2019-01-02,2026-05-01
QCOM,1913,2019-01-02,2026-05-01
RSG,1913,2019-01-02,2026-05-01
RTX,1913,2019-01-02,2026-05-01
SBUX,1913,2019-01-02,2026-05-01
SHW,1913,2019-01-02,2026-05-01
SI=F,1913,2019-01-02,2026-05-01
SLB,1913,2019-01-02,2026-05-01
SNAP,1913,2019-01-02,2026-05-01
SNOW,1468,2020-09-16,2026-05-01
SPGI,1913,2019-01-02,2026-05-01
SPOT,1913,2019-01-02,2026-05-01
