Date,Ticker,open,high,low,close,adj_close,volume
2019-01-02,ZS=F,881.5,897.75,880.75,894.75,894.75,8393
2019-01-03,ZS=F,893.5,900.75,892.25,900.25,900.25,5149
2019-01-04,ZS=F,898.25,910.0,898.25,909.5,909.5,6571
2019-01-07,ZS=F,909.5,915.75,909.5,912.25,912.25,4350
2019-01-08,ZS=F,911.75,912.5,903.0,906.25,906.25,3286
2019-01-09,ZS=F,905.5,913.75,905.25,911.5,911.5,2759
2019-01-10,ZS=F,908.0,911.25,895.0,895.5,895.5,1094
2019-01-11,ZS=F,897.25,901.25,897.25,899.25,899.25,287
2019-01-14,ZS=F,895.25,895.25,890.75,890.75,890.75,75988
2019-01-15,ZS=F,904.25,908.0,892.5,893.25,893.25,107769
2019-01-16,ZS=F,895.5,900.0,891.25,894.5,894.5,87043
2019-01-17,ZS=F,895.5,912.0,894.25,907.75,907.75,103132
2019-01-18,ZS=F,908.25,920.25,905.75,916.75,916.75,112894
2019-01-22,ZS=F,916.5,919.5,899.5,909.25,909.25,126766
2019-01-23,ZS=F,911.0,918.25,910.5,915.0,915.0,72124
2019-01-24,ZS=F,915.0,919.5,909.25,916.0,916.0,85832
2019-01-25,ZS=F,915.75,926.25,913.0,925.25,925.25,103755
2019-01-28,ZS=F,923.5,925.0,915.75,923.25,923.25,69622
2019-01-29,ZS=F,921.75,922.25,916.75,919.0,919.0,86953
2019-01-30,ZS=F,919.0,924.0,917.25,921.0,921.0,68239
2019-01-31,ZS=F,919.5,926.75,913.25,915.25,915.25,98081
2019-02-01,ZS=F,921.0,931.25,917.0,917.75,917.75,168136
2019-02-04,ZS=F,917.0,923.75,915.5,918.5,918.5,76590
2019-02-05,ZS=F,917.75,921.0,913.5,920.25,920.25,83109
2019-02-06,ZS=F,920.0,922.5,917.5,921.75,921.75,98810
2019-02-07,ZS=F,919.5,921.5,910.5,913.25,913.25,120903
2019-02-08,ZS=F,913.0,918.0,908.0,914.5,914.5,134648
2019-02-11,ZS=F,914.75,918.75,903.5,905.0,905.0,124095
2019-02-12,ZS=F,905.5,919.75,905.5,917.5,917.5,126536
2019-02-13,ZS=F,916.75,920.0,913.75,916.5,916.5,87709
2019-02-14,ZS=F,915.75,918.25,903.0,903.5,903.5,111538
2019-02-15,ZS=F,905.25,909.75,901.25,907.5,907.5,113607
2019-02-19,ZS=F,907.25,911.25,894.75,900.75,900.75,119260
2019-02-20,ZS=F,902.0,905.0,893.25,902.5,902.5,132174
