Model,Horizon,N,MAE,RMSE,DirectionalAccuracy,MeanActualReturn,MeanPredReturn,RankIC_Mean,RankIC_Median,RankIC_Std,RankIC_N,MeanLongShortReturn,VolLongShortReturn,SharpeApprox,N_Dates
Naive-RandomWalk,1,2880,0.013275787121869317,0.021193448382010243,0.05,0.0015793585799082355,0.0,,,,,,,,
NBEATS,1,2880,0.013586071749334502,0.021544082896960675,0.48020833333333335,0.0015793585799082353,0.0004501582264028388,0.02728184139534204,0.023671334817766322,0.10567771424633228,18.0,-0.00016357405411166842,0.012289076499787884,-0.04610900949738912,18.0
NBEATS-NoEmb,1,2880,0.013704103918863132,0.021366566157769374,0.5309027777777777,0.0015793585799082353,0.002833494619537485,0.05752949848117041,0.04074915035743584,0.13117535622984655,18.0,0.004365274593972495,0.01204049051236312,1.255908532627718,18.0
NBEATS-Emb-16,1,2880,0.014311637279911669,0.021640620749023436,0.5013888888888889,0.0015793585799082353,0.0016173048164798865,-0.02009713878863921,-0.027200281260986756,0.13494581812313103,18.0,-0.0022695537978812386,0.009837398398630418,-0.7991914791188067,18.0
PatchTST,1,2880,0.014385071835382774,0.02233125070458197,0.4597222222222222,0.0015793585799082353,0.0009299396287813422,-0.05088704666013811,-0.0470701980546115,0.20876342238223683,18.0,0.001425005710790345,0.018247581609022623,0.27052157869997107,18.0
NBEATS-Emb-8,1,2880,0.014417159591144414,0.022079454016996358,0.4809027777777778,0.0015793585799082353,0.00014689310660792224,0.019092841393014325,0.01256152584085316,0.12258665843377947,18.0,-0.00039669318891574464,0.013884893860935181,-0.09896982506315123,18.0
NBEATS-Emb-32,1,2880,0.014520342262882808,0.022119278457090174,0.4600694444444444,0.0015793585799082353,5.256186373622086e-05,-0.013212635574907546,0.00941198874956053,0.12323278326896853,18.0,-0.001019267051718097,0.013518831106707365,-0.26117972864987776,18.0
Chronos-ZeroShot,1,2880,0.014708260095745983,0.022709182371610525,0.4829861111111111,0.0015793585799082355,0.0022922062880962896,0.01163252934867663,0.04184495240574622,0.11557625639487802,18.0,0.0012204780696031452,0.00977315680858129,0.4325992240746822,18.0
Kronos-ZeroShot,1,2880,0.025431389877533257,0.04285398538693127,0.4732638888888889,0.0015793585799082355,-0.007585230790341495,-0.012093036339467391,-0.0321072790064546,0.16115499629014846,18.0,-0.0017341737584281286,0.014672002618350326,-0.40944336460156916,18.0
NBEATS,5,2880,0.029048528675232048,0.04187724825082648,0.5454861111111111,0.004626902477480933,0.0026792489799421187,0.009643773405306645,-0.011556603773584905,0.16476111293419962,18.0,-0.0003119417463424874,0.0366357704111975,-0.02949570584173178,18.0
Naive-RandomWalk,5,2880,0.029199741231421283,0.04178676096878415,0.001388888888888889,0.004626902477480933,0.0,,,,,,,,
PatchTST,5,2880,0.029342567462269455,0.042023858305992444,0.5260416666666666,0.004626902477480933,0.0017090591579886326,0.0699781689025359,0.09411402789171452,0.1763834781753668,18.0,0.016849050542051484,0.044883469727961645,1.300408002100084,18.0
NBEATS-NoEmb,5,2880,0.029583096917455566,0.04217485800951446,0.5211805555555555,0.004626902477480933,0.003158368780148302,0.013050790186845157,0.01983475917028009,0.1657984043220644,18.0,0.0008061187447185086,0.021521878501564565,0.12975062773303928,18.0
NBEATS-Emb-32,5,2880,0.029658158596715885,0.042157079967104036,0.5340277777777778,0.004626902477480933,0.002207802538113239,-0.02363047583164325,-0.0124238251494199,0.16264304135933216,18.0,-0.001615303505926238,0.022505429708259878,-0.24863224370086506,18.0
NBEATS-Emb-16,5,2880,0.029681054403091947,0.04231727113070999,0.5069444444444444,0.004626902477480933,0.0034493856610626687,0.01425470994505578,0.020710769951951247,0.11405179474410693,18.0,0.0006825024902587822,0.016174226051250865,0.14617441176779786,18.0
Chronos-ZeroShot,5,2880,0.029775536281018963,0.043058857705904736,0.5364583333333334,0.004626902477480933,0.005183627490653721,0.005894418849502632,0.01737079573420837,0.16877380051718285,18.0,-0.004498625589404573,0.029485133618816373,-0.528527235847812,18.0
NBEATS-Emb-8,5,2880,0.029819199386873406,0.04263724067504337,0.5215277777777778,0.004626902477480933,0.001916945076340595,-0.012243240175689694,-0.006104242353216923,0.1512890502770062,18.0,-0.0030803096510187544,0.023556738855478283,-0.45297040913356224,18.0
Kronos-ZeroShot,5,2880,0.06210441816840671,0.09735125426974463,0.5138888888888888,0.004626902477480933,-0.025507478590169292,0.016450671423723848,-0.011534630258994491,0.19581303655131516,18.0,0.00667083614576625,0.043763797143268945,0.5280267201499529,18.0
